merchant_id,industry,monthly_volume,days_to_ship,is_disputed,chargeback_amount
1,Travel,33432.15,23,1,1671.61
2,SaaS,61796.88,7,0,0.00
3,SaaS,87163.6,7,0,0.00
4,Travel,66133.01,1,0,0.00
5,SaaS,10444.8,15,0,0.00
6,Services,66161.14,10,0,0.00
7,Travel,62661.71,17,0,0.00
8,Travel,91969.06,12,0,0.00
9,Services,44822.49,4,0,0.00
10,Services,36485.39,13,1,1824.27
11,Services,39338.47,3,0,0.00
12,SaaS,9548.27,19,0,0.00
13,SaaS,50890.39,26,0,0.00
14,Retail,69244.19,8,0,0.00
15,Travel,21376.29,15,0,0.00
16,Services,25180.77,25,0,0.00
17,Retail,62205.96,6,0,0.00
18,Services,93081.19,18,0,0.00
19,Services,71909.47,6,0,0.00
20,Services,40184.41,17,0,0.00
21,Services,83155.9,14,0,0.00
22,Travel,31396.11,18,1,1569.81
23,Services,72679.2,9,0,0.00
24,SaaS,47217.99,4,0,0.00
25,SaaS,53556.65,1,0,0.00
26,SaaS,43711.2,27,0,0.00
27,Retail,22745.53,25,0,0.00
28,Services,57455.58,5,0,0.00
29,SaaS,41342.83,16,0,0.00
30,SaaS,41964.5,20,0,0.00
31,Travel,36696.98,21,1,1834.85
32,SaaS,74469.93,13,0,0.00
33,SaaS,57916.81,21,0,0.00
34,Services,53662.57,8,0,0.00
35,Services,70792.16,23,0,0.00
36,Travel,66682.45,8,0,0.00
37,Retail,94182.47,25,0,0.00
38,SaaS,84209.94,23,0,0.00
39,Services,39150.78,29,0,0.00
40,SaaS,6730.11,3,0,0.00
41,Services,72273.66,8,0,0.00
42,SaaS,45383.26,14,0,0.00
43,Services,10613.6,23,0,0.00
44,Travel,88455.16,30,1,4422.76
45,Services,76555.63,15,0,0.00
46,SaaS,36532.25,28,0,0.00
47,Retail,83327.86,13,0,0.00
48,Travel,73533.92,17,0,0.00
49,Travel,59127.95,28,0,0.00
50,Services,64560.89,17,0,0.00
51,SaaS,62503.16,14,0,0.00
52,Travel,17204.61,26,1,860.23
53,SaaS,42706.88,2,0,0.00
54,Retail,77623.18,16,0,0.00
55,Travel,5944.7,13,0,0.00
56,Retail,85595.6,27,0,0.00
57,Travel,84098.97,29,1,4204.95
58,Travel,48357.09,15,0,0.00
59,Services,10248.29,29,0,0.00
60,Travel,42722.52,20,0,0.00
61,Retail,11056.96,30,0,0.00
62,Travel,86706.65,6,0,0.00
63,Retail,51067.37,11,0,0.00
64,Retail,88438.53,14,0,0.00
65,Retail,51324.17,22,0,0.00
